Trip,Col,Col,Id
R1.1.T1,0,0,0
R1.1.T1,0,0,1
R1.1.T1,0,0,3
R1.1.T2,0,0,0
R1.1.T2,0,0,1
R1.1.T2,0,0,3
R1.1.T3,0,0,0
R1.1.T3,0,0,1
R1.1.T3,0,0,3
R1.2.T1,0,0,1
R1.2.T1,0,0,2
R1.2.T1,0,0,3
R1.2.T2,0,0,1
R1.2.T2,0,0,2
R1.2.T2,0,0,3
R1.3.T1,0,0,3
R1.3.T1,0,0,2
R1.3.T1,0,0,1
R1.3.T2,0,0,3
R1.3.T2,0,0,2
R1.3.T2,0,0,1
R1.4.T1,0,0,3
R1.4.T1,0,0,2
R1.4.T1,0,0,1
R1.4.T2,0,0,3
R1.4.T2,0,0,2
R1.4.T2,0,0,1
R2.1.T1,0,0,0
R2.1.T1,0,0,1
R2.2.T1,0,0,0
R2.2.T1,0,0,1
R2.3.T1,0,0,1
R2.3.T1,0,0,2
R2.4.T1,0,0,2
R2.4.T1,0,0,3
R3.1.T1,0,0,3
R3.1.T1,0,0,2
R3.2.T1,0,0,1
R3.2.T1,0,0,0
R3.3.T1,0,0,3
R3.3.T1,0,0,4
B1.1.T1,0,0,1
B1.1.T1,0,0,3
B1.2.T1,0,0,2
B1.2.T1,0,0,4
B1.3.T1,0,0,0
B1.3.T1,0,0,4











